Year,State,Delegates,Party,Candidate,PropEC
1988,Alabama,9,R,George H. W. Bush,12
1988,Alaska,3,R,George H. W. Bush,3
1988,Arizona,7,R,George H. W. Bush,9
1988,Arkansas,6,R,George H. W. Bush,8
1988,California,47,R,George H. W. Bush,61
1988,Colorado,8,R,George H. W. Bush,9
1988,Connecticut,8,R,George H. W. Bush,10
1988,Delaware,3,R,George H. W. Bush,3
1988,Florida,21,R,George H. W. Bush,26
1988,Georgia,12,R,George H. W. Bush,16
1988,Hawaii,4,D,Michael Dukakis,4
1988,Idaho,4,R,George H. W. Bush,4
1988,Illinois,24,R,George H. W. Bush,30
1988,Indiana,12,R,George H. W. Bush,16
1988,Iowa,8,D,Michael Dukakis,9
1988,Kansas,7,R,George H. W. Bush,8
1988,Kentucky,9,R,George H. W. Bush,11
1988,Louisiana,10,R,George H. W. Bush,12
1988,Maine,4,R,George H. W. Bush,5
1988,Maryland,10,R,George H. W. Bush,12
1988,Massachusetts,13,D,Michael Dukakis,16
1988,Michigan,20,R,George H. W. Bush,25
1988,Minnesota,10,D,Michael Dukakis,12
1988,Mississippi,7,R,George H. W. Bush,8
1988,Missouri,11,R,George H. W. Bush,14
1988,Montana,4,R,George H. W. Bush,4
1988,Nebraska,5,R,George H. W. Bush,6
1988,Nevada,4,R,George H. W. Bush,4
1988,New Hampshire,4,R,George H. W. Bush,4
1988,New Jersey,16,R,George H. W. Bush,20
1988,New Mexico,5,R,George H. W. Bush,5
1988,New York,36,D,Michael Dukakis,46
1988,North Carolina,13,R,George H. W. Bush,17
1988,North Dakota,3,R,George H. W. Bush,4
1988,Ohio,23,R,George H. W. Bush,29
1988,Oklahoma,8,R,George H. W. Bush,10
1988,Oregon,7,D,Michael Dukakis,9
1988,Pennsylvania,25,R,George H. W. Bush,32
1988,Rhode Island,4,D,Michael Dukakis,4
1988,South Carolina,8,R,George H. W. Bush,10
1988,South Dakota,3,R,George H. W. Bush,4
1988,Tennessee,11,R,George H. W. Bush,13
1988,Texas,29,R,George H. W. Bush,37
1988,Utah,5,R,George H. W. Bush,6
1988,Vermont,3,R,George H. W. Bush,3
1988,Virginia,12,R,George H. W. Bush,15
1988,Washington,10,D,Michael Dukakis,12
1988,West Virginia,1,D,Lloyd Bentsen,7
1988,West Virginia,5,D,Michael Dukakis,14
1988,Wisconsin,11,D,Michael Dukakis,3
1988,Wyoming,3,R,George H. W. Bush,3
1988,Washington DC,3,D,Michael Dukakis,11
